start	end	text
0	2000	It's called the blockchain.
2000	4000	Blockchain.
4000	8000	Now it's not the most sonorous word in the world,
8000	13000	but I believe that this is now the next generation of the internet,
13000	18000	and that it holds vast promise for every business, every society,
18000	20000	and for all of you individually.
20000	25000	You know, for the past few decades we've had the internet of information,
25000	29000	and when I send you an email or a PowerPoint file or something,
29000	31000	I'm actually not sending you the original.
31000	34000	I'm sending you a copy, and that's great.
34000	38000	This is democratized information.
38000	43000	But when it comes to assets, things like money,
43000	47000	financial assets like stocks and bonds, loyalty points,
47000	55000	intellectual property, music, art, a vote, carbon credit, and other assets,
55000	58000	sending you a copy is a really bad idea.
58000	63000	If I send you $100, it's really important that I don't still have money
63000	66000	and that I can't send it to you.
66000	71000	So this has been called the double-spend problem by cryptographers for a long time.
71000	78000	So today we rely entirely on big intermediaries, middlemen like banks,
78000	82000	governments, big social media companies, credit card companies, and so on,
82000	85000	to establish trust in our economy.
85000	90000	And these intermediaries perform all the business and transaction logic
90000	94000	of every kind of commerce, from authentication, identification of people
94000	99000	through to clearing, settling, and record-keeping.
99000	103000	And overall they do a pretty good job, but there are growing problems.
103000	105000	To begin, they're centralized.
105000	108000	That means that they can be hacked and increasingly are.
108000	112000	And J.P. Morgan, U.S. Federal Government, LinkedIn, Home Depot,
112000	114000	and others found that out the hard way.
114000	118000	They exclude billions of people from the global economy.
118000	122000	For example, people who don't have enough money to have a bank account.
122000	124000	They slow things down.
124000	128000	It can take a second for an email to go around the world,
128000	132000	but it can take days or weeks for money to move through the banking system
132000	137000	across the city, and they take a big piece of the action, 10% to 20%,
137000	139000	just to send money to another country.
139000	143000	They capture our data, and that means that we can't monetize it or use it
143000	148000	to better manage our lives, and our privacy is being undermined.
148000	154000	And the biggest problem is that overall they've appropriated the largess
154000	157000	of the digital age asymmetrically.
157000	162000	And we have wealth creation, but we have growing social inequality.
