start	end	text
0	4040	I have to admit that when it comes to food, I'm a total sucker.
4040	8360	Whether it's sugar or grease or carbs, pretty much bring it on.
8360	10740	And I spend a lot of time in Montana.
10740	14760	So for me, that medium-rare grass-fed rib-eye steak?
14760	16240	Pretty much as good as it gets.
16240	17920	I know, I don't do it often.
17920	21140	And when I do, I gotta admit, I feel a little conflicted.
21140	24260	And that's for a lot of reasons, including the planet.
24260	26760	But how big of a problem is what I eat?
26760	31080	I mean, does it really make much of a dent in something as huge as global warming?
37880	41360	But it turns out what we put on our plates matters a lot.
41360	45080	About 25% of all the global climate change problems we're seeing
45080	47440	can be attributed back to the food and the choices
47440	50680	that we're actually making about what we eat on a daily basis.
50680	53120	This is greater than all the cars on the planet.
53120	57160	In fact, it's about twice as much global warming pollution as the cars.
57160	62000	Ben Holton and Maya Almoroz study the connection between climate and diet
62000	64120	at the University of California, Davis.
64120	68080	They track how the way we produce food creates greenhouse gases
68080	70000	that contribute to global warming.
70000	72240	With their data, the team has crunched the numbers
72240	74960	to figure out how much carbon pollution is produced
74960	77200	by different foods and different diets.
77200	79880	A lot of people feel really helpless when it comes to climate change,
79880	81280	like they can't make a difference.
81280	84240	And what our research is showing is that your personal decisions
84240	86440	really can have a big impact.
86440	89040	So take that grass-fed ribeye steak I love.
89040	92520	If you really look at everything that went into making a single serving of beef,
92520	96160	you end up emitting around 330 grams of carbon.
96160	98520	That's like driving a car three miles.
98520	100480	Now, if I choose to have chicken instead,
100480	102880	there's more than a five-fold drop in emissions.
102880	105920	Switch to fish and you see the number go down even more.
105920	107320	Now, look at veggies.
107320	110400	If I swapped beef out entirely for lentils,
110400	112200	well, I'm down to practically nothing.
112200	114720	So why does beef, and lamb too for that matter,
114720	117720	pack such a powerful punch to the planet?
117720	123040	Livestock accounts for a little over 14% of global greenhouse gas emissions.
123040	124640	If that sort of seems low to you,
124640	127640	consider it's about equal to transportation.
127640	131160	We're talking all the cars, trucks, planes, trains,
131160	133560	and ships on the planet combined.
133560	137440	This is partly because ruminant animals like cows and sheep,
137440	138640	they're just gassy.
139640	145320	And the methane they produce is at least 25 times more potent than carbon dioxide.
145320	147840	Plus, it takes a lot of land, fertilizer,
147840	152160	and about a billion tons of grain to feed all that livestock.
152160	155920	And you could feed 3.5 billion people with that grain.
155920	158640	If we were just directly eating these grains ourselves,
158640	162680	it would eliminate a lot of the CO2 that's emitted from cattle production.
162680	165160	So it's clear that meat has a pretty big carbon load,
165280	169680	but it's also worth remembering that not all livestock is raised equally.
169680	171720	In parts of the American West, for instance,
171720	176680	ranchers are working to raise livestock in ways that actually help restore the land.
176680	180400	And they're experimenting with ways that soil and grasslands
180400	183440	can be used to keep carbon pollution out of the air.
183440	186440	But even these sustainable ranchers will really tell you,
186440	188600	we're probably eating too much meat.
188600	192200	I know a lot of people who, if you don't serve them meat for lunch or dinner,
192200	194320	they're kind of like, well, when is the meat coming out?
194320	197560	It's to the point now where the US actually has one of the highest
197560	199080	meat footprints per capita.
199080	201520	So what about not eating meat at all?
201520	204360	Vegan is the way to go for the least impact on the planet.
204360	208880	But it's not that much different in terms of emissions than, say, a vegetarian diet.
208880	212680	And the team found that the environmental impact of the Mediterranean diet
212680	216120	is pretty similar to vegan and vegetarian diets.
216120	219240	It's a lot less meat heavy than what Americans are used to.
219240	222200	So fish and poultry a few times a week,
222200	225760	beef maybe once a month, plenty of plant-based foods,
225760	227600	and of course, loads of olive oil.
227600	230280	Eliminating, like, 90% of your meat intake
230280	233120	is more important than eliminating all of your meat.
233120	234320	We don't all have to be vegan.
234320	236200	We don't all even have to be vegetarian.
236200	238960	If we can just reduce our meat intake, every little bit helps.
238960	241840	And if you can bring it down a lot, you can help the climate a lot.
241840	244680	If we all just switched to a Mediterranean diet,
244680	249440	it could actually solve 15% of global warming pollution by 2050.
249440	251440	If everyone were to move toward it,
251440	255600	that is equivalent to taking somewhere around a billion cars off of the streets
255600	257440	in terms of vehicle emissions each year.
257440	259880	So that kind of a footprint is big time.
259880	263760	But say you still want more meat than the Mediterranean diet recommends.
263760	268320	Just cutting down your portion size to the doctor-recommended four ounces
268320	270840	can reduce your emissions by half.
270840	271640	That's huge.
271640	275200	In fact, the doctors are telling us we're eating about twice as much meat
275200	277320	as we really need for a healthy diet.
277320	280080	The good news is we are listening to our doctors.
280080	284520	In the last decade, there's been a 19% drop in the amount of beef we eat.
284520	287200	All these things that you're already being told are good for you
287200	289200	also happen to be good for the planet.
289200	292920	So what we eat really is a big part of the climate puzzle.
292920	295920	I mean, we may not all be able to afford an electric car
295920	298200	or putting solar panels on our house,
298200	300120	but we all have to eat every day.
300120	303280	And these choices we make can add up to really big numbers.
303280	305960	And since meat has a pretty big carbon load,
305960	308600	we need to be thoughtful about how much we eat.
308600	311000	As for that ribeye steak that I really love,
311000	313600	I am honestly trying to cut back.
313600	315840	Maybe it's just a smaller piece of steak
315840	319360	or simply swapping out a meat dish for a veggie burger.
319360	323160	It may seem like a small thing, but it really does add up to big impacts.
